id,price,latitude,longitude,katastrinumber,url
3441272,390 €  8.28 €/m²,58.3823908,26.7536242,79515:005:0010,https://www.kv.ee/3441272
3442681,500 €  16.7 €/m²,58.3834212,26.7200502,,https://www.kv.ee/3442681
3446800,560 €  8.20 €/m²,58.4034002,26.7423209,79601:001:1832,https://www.kv.ee/3446800
3451649,600 €  10 €/m²,58.3841043,26.7322013,,https://www.kv.ee/3451649
3459603,210 €  11.7 €/m²,58.3709749,26.6812561,79502:009:0005,https://www.kv.ee/3459603
3460287,370 €  30.8 €/m²,58.3738366,26.7199492,79507:037:0020,https://www.kv.ee/3460287
3460419,750 €  11.9 €/m²,58.3836598,26.7198108,,https://www.kv.ee/3460419
3460433,800 €  11.9 €/m²,58.3836598,26.7198108,,https://www.kv.ee/3460433
3463010,750 €  13.9 €/m²,58.3836598,26.7198108,,https://www.kv.ee/3463010
3463733,340 €  16.2 €/m²,58.3765589437787,26.6846752552209,79502:006:0019,https://www.kv.ee/3463733
3466825,580 €  12.6 €/m²,58.3829836,26.7370779,79514:021:0022,https://www.kv.ee/3466825
3472280,420 €  20 €/m²,58.3709811190716,26.7024475728436,,https://www.kv.ee/3472280
3474819,503 €  7.51 €/m²,58.373736,26.732985,,https://www.kv.ee/3474819
3484647,370 €  16.1 €/m²,58.383708,26.720055,,https://www.kv.ee/3484647
3485700,600 €  9.90 €/m²,58.3837118,26.7158483,,https://www.kv.ee/3485700
3486133,500 €  27.8 €/m²,58.370434,26.726914,,https://www.kv.ee/3486133
3522174,390 €  10.2 €/m²,58.3796707,26.7495435,,https://www.kv.ee/3522174
3529644,1 800 €  16.3 €/m²,58.3865,26.72821,79301:001:050,https://www.kv.ee/3529644
3534124,700 €  16.8 €/m²,58.3740184,26.7165701,79507:061:0003,https://www.kv.ee/3534124
3534156,590 €  8.81 €/m²,58.375619,26.70619,,https://www.kv.ee/3534156
3540521,330 €  10.3 €/m²,58.382787,26.755485,79515:009:0001,https://www.kv.ee/3540521
3548746,495 €  25.9 €/m²,58.382016,26.735732,79514:021:0048,https://www.kv.ee/3548746
3550447,450 €  28.9 €/m²,58.3822291,26.7355093,79514:021:0048,https://www.kv.ee/3550447
3550464,525 €  26.3 €/m²,58.3822291,26.7355093,79514:021:0048,https://www.kv.ee/3550464
3551200,380 €  25.3 €/m²,58.370305,26.774998,79516:028:0001,https://www.kv.ee/3551200
3551284,390 €  10.7 €/m²,58.38268,26.756691,,https://www.kv.ee/3551284
3554083,500 €  10.6 €/m²,58.3850597,26.7574904,,https://www.kv.ee/3554083
3554437,390 €  28.3 €/m²,58.382016,26.735732,79514:021:0048,https://www.kv.ee/3554437
3556112,775 €  19.9 €/m²,58.371939,26.719129,,https://www.kv.ee/3556112
3558783,330 €  26.2 €/m²,58.373386,26.720369,79507:037:0020,https://www.kv.ee/3558783
3561158,1 400 €  15.4 €/m²,58.39806789999999,26.7510673,79601:001:1059,https://www.kv.ee/3561158
3564733,670 €  11 €/m²,58.3705549,26.7380245,,https://www.kv.ee/3564733
3565213,780 €  15.6 €/m²,58.3778933,26.7199976,,https://www.kv.ee/3565213
3572275,275 €  13.1 €/m²,58.359478,26.705891,79504:069:0008,https://www.kv.ee/3572275
3578646,570 €  11.1 €/m²,58.349038,26.683707,,https://www.kv.ee/3578646
3578854,270 €  16.7 €/m²,58.3671378698131,26.7315694399974,79508:031:0007,https://www.kv.ee/3578854
3580565,335 €  18.6 €/m²,58.357908,26.723279,79510:004:0011,https://www.kv.ee/3580565
3582759,500 €  11.9 €/m²,58.383032,26.737796,79501:002:0578,https://www.kv.ee/3582759
3589232,350 €  17.5 €/m²,58.3813846,26.7411905,79514:025:0004,https://www.kv.ee/3589232
3596143,480 €  10.7 €/m²,58.366407780948,26.73878764724,79508:078:0004,https://www.kv.ee/3596143
3601381,520 €  14.3 €/m²,58.374854,26.72989,79507:051:0010,https://www.kv.ee/3601381
3604728,65 €  1.59 €/m²,58.372011,26.718279,79501:002:0630,https://www.kv.ee/3604728
3610088,1 400 €  18.1 €/m²,58.378039,26.721687,79507:023:000,https://www.kv.ee/3610088
3612371,780 €  11.6 €/m²,58.370362,26.73741,79301:001:0069,https://www.kv.ee/3612371
3613219,540 €  11.5 €/m²,58.349094,26.683643,79301:001:0575,https://www.kv.ee/3613219
3617466,600 €  12.5 €/m²,58.385367,26.714428,79513:013:0085,https://www.kv.ee/3617466
3618550,230 €  21.3 €/m²,58.376406,26.718652,79507:033:0005,https://www.kv.ee/3618550
3620939,500 €  16.1 €/m²,58.372004,26.7006835,,https://www.kv.ee/3620939
3621757,400 €  6.33 €/m²,58.3512112,26.7079768,79509:023:0011,https://www.kv.ee/3621757
